unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1675695600,2023-02-06 15:00:00,BTC/USDT,22851,22965,22768,22965,0.48448836,11126.2751874
1675692000,2023-02-06 14:00:00,BTC/USDT,22826,22887,22811,22851,0.49556060,11324.0552706
1675688400,2023-02-06 13:00:00,BTC/USDT,22903,22917,22818,22818,0.23077619,5265.85110342
1675684800,2023-02-06 12:00:00,BTC/USDT,22903,22926,22900,22908,0.20345640,4660.779211200001
1675681200,2023-02-06 11:00:00,BTC/USDT,22831,22884,22754,22884,1.51268615,34616.3098566
1675677600,2023-02-06 10:00:00,BTC/USDT,22836,22850,22820,22820,0.05705844,1302.0736008000001
1675674000,2023-02-06 09:00:00,BTC/USDT,22867,22883,22822,22836,5.60468370,127988.5569732
1675670400,2023-02-06 08:00:00,BTC/USDT,22887,22915,22858,22865,2.94589892,67357.9788058
1675666800,2023-02-06 07:00:00,BTC/USDT,22773,22886,22773,22877,4.82100013,110290.01997400999
1675663200,2023-02-06 06:00:00,BTC/USDT,22773,22794,22726,22792,17.36973207,395890.93333944003
1675659600,2023-02-06 05:00:00,BTC/USDT,22873,22876,22636,22775,43.25504308,985133.606147
1675656000,2023-02-06 04:00:00,BTC/USDT,22926,22926,22885,22898,0.96394204,22072.34483192
1675652400,2023-02-06 03:00:00,BTC/USDT,22857,22924,22857,22892,2.02632577,46386.64952684
1675648800,2023-02-06 02:00:00,BTC/USDT,22989,23000,22905,22905,2.14685931,49173.81249555
1675645200,2023-02-06 01:00:00,BTC/USDT,23066,23066,22966,23022,3.67994834,84719.77068348
1675641600,2023-02-06 00:00:00,BTC/USDT,22932,23088,22932,23053,1.53887500,35475.685375
1675638000,2023-02-05 23:00:00,BTC/USDT,22980,22980,22909,22955,3.73665230,85774.8535465
1675634400,2023-02-05 22:00:00,BTC/USDT,22900,23027,22893,22991,1.74175225,40044.62597975
1675630800,2023-02-05 21:00:00,BTC/USDT,22889,22901,22824,22897,4.97227506,113850.18204882
1675627200,2023-02-05 20:00:00,BTC/USDT,22896,22934,22860,22876,0.70930193,16225.99095068
1675623600,2023-02-05 19:00:00,BTC/USDT,22844,22914,22760,22909,1.42761104,32705.141315359997
1675620000,2023-02-05 18:00:00,BTC/USDT,22895,22935,22837,22837,1.37077309,31304.34505633
1675616400,2023-02-05 17:00:00,BTC/USDT,23044,23070,22815,22871,6.85850802,156860.93692542
1675612800,2023-02-05 16:00:00,BTC/USDT,23062,23116,23004,23086,1.90634068,44009.78093848
1675609200,2023-02-05 15:00:00,BTC/USDT,23180,23180,23086,23086,1.87457477,43276.43314022
1675605600,2023-02-05 14:00:00,BTC/USDT,23195,23195,23158,23170,0.60080165,13920.574230499999
1675602000,2023-02-05 13:00:00,BTC/USDT,23133,23210,23096,23161,4.80314464,111245.63300704
1675598400,2023-02-05 12:00:00,BTC/USDT,23363,23363,23041,23138,4.74001406,109674.44532028
1675594800,2023-02-05 11:00:00,BTC/USDT,23363,23363,23360,23360,0.07915738,1849.1163968
1675591200,2023-02-05 10:00:00,BTC/USDT,23370,23394,23370,23394,0.12392126,2899.01395644
1675587600,2023-02-05 09:00:00,BTC/USDT,23363,23363,23363,23363,0.00265382,62.00119666
1675584000,2023-02-05 08:00:00,BTC/USDT,23392,23392,23392,23392,0.12780000,2989.4976
1675580400,2023-02-05 07:00:00,BTC/USDT,23380,23385,23380,23385,0.00916702,214.3707627
